class,1kHz_cond,2kHz_cond,3kHz_cond,7kHz_cond,11kHz_cond,17kHz_cond,23kHz_cond,31kHz_cond,43kHz_cond,61kHz_cond,89kHz_cond,127kHz_cond,179kHz_cond,251kHz_cond,349kHz_cond
skin,5060.361085,5389.130851,5612.497882,5636.720014,5652.895236,5702.850164,5734.917668,5754.868843,5773.044758,5792.958333,5778.899797,5754.39544,5706.933366,5630.790638,5549.936468
skin,5227.373059,5370.963809,5543.533845,5410.272175,5380.271021,5385.016137,5405.854384,5416.652602,5433.430307,5455.005759,5452.317255,5437.528642,5399.820723,5331.261596,5244.099428
skin,5837.71279,6132.931299,6420.133464,6268.4681,6219.658596,6209.743199,6210.456612,6196.839026,6187.200215,6174.041667,6123.888397,6065.424221,5985.360167,5873.261326,5758.719044
skin,4500.8285,4705.820624,4866.116239,4628.587902,4504.868111,4401.666061,4338.438905,4264.613221,4174.176688,4075.709209,3928.074593,3811.752797,3714.495333,3593.670432,3454.88272
skin,1947.638032,2060.22002,2291.93181,2421.591094,2450.955194,2471.052497,2470.437805,2463.825851,2444.797674,2428.279461,2389.69991,2356.076648,2322.961871,2284,2243.441425
skin,4865.485466,4919.101688,5072.15418,4833.131793,4748.436651,4695.209139,4662.892399,4622.953586,4581.453448,4535.614023,4460.221103,4375.692421,4280.960794,4169.737405,4049.841169
skin,5234.13509,5470.327963,5761.022407,5655.82193,5637.408704,5640.317823,5644.89853,5640,5635.027685,5637.077533,5617.6017,5599.424929,5568.515718,5518.274583,5460.879924
skin,5467.425161,5952.45763,6321.247704,6246.747823,6221.532969,6214.918074,6212.384079,6198.839404,6177.93984,6160.166667,6107.204081,6047.869703,5974.481531,5873.965923,5765.301199
skin,7208.688014,7320.48808,7582.826019,7277.325395,7209.025996,7178.074282,7175.754117,7163.247783,7155.953567,7149.875,7116.560355,7079.025975,7035.010431,6972.369369,6902.629499
skin,6892.777807,7115.541493,7374.638178,7186.893549,7134.419279,7114.332404,7112.911405,7097.990187,7085.456506,7072.458333,7021.971047,6956.144353,6875.641183,6759.004436,6628.062846
skin,3378.209144,3454.048697,3543.316266,3429.665153,3392.277979,3367.752889,3349.260645,3328.069191,3302.488032,3278.91059,3239.626112,3204.052157,3160.451983,3109.500332,3056.377199
skin,5514.419578,5871.595501,6201.879515,6028.425449,5956.844806,5906.103886,5873.077078,5824.919796,5771.153278,5722.666667,5640.19199,5572.876021,5492.382362,5380.640788,5258.179797
